(state),date,state,positive,recovered,death,positiveIncrease,daily_cases_adj,active_roll7,active_roll7_adj,daily_recover,daily_recover_adj,recovered_roll7,recovered_roll7_adj,deathIncrease,daily_deaths_adj,deaths_roll7,deaths_roll7_adj,hospitalizedIncrease,hospitalizedCurrently,inIcuCurrently
AK,2020-03-06,AK,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA
AK,2020-03-07,AK,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA
AK,2020-03-08,AK,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA
AK,2020-03-09,AK,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,NA,NA
AK,2020-03-10,AK,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-11,AK,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-12,AK,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-13,AK,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-14,AK,NA,NA,0,0,0,0.42857142857142855,0.0583883189107698,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-15,AK,NA,NA,0,0,0,1.1428571428571428,0.15570218376205278,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-16,AK,NA,NA,0,0,0,1.5714285714285714,0.2140905026728226,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-17,AK,3,NA,0,3,0.4087182323753886,2,0.2724788215835924,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-18,AK,8,NA,0,5,0.681197053958981,2.142857142857143,0.291941594553849,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-19,AK,11,NA,0,3,0.4087182323753886,3.5714285714285716,0.48656932425641497,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-20,AK,14,NA,0,3,0.4087182323753886,5.428571428571429,0.7395853728697508,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-21,AK,15,NA,0,1,0.1362394107917962,5.571428571428571,0.7590481458400075,NA,NA,NA,NA,0,0,0,0,0,NA,NA
AK,2020-03-22,AK,25,NA,0,10,1.362394107917962,5.857142857142857,0.7979736917805206,NA,NA,NA,NA,0,0,0.14285714285714285,0.019462772970256597,0,NA,NA
AK,2020-03-23,AK,38,NA,0,13,1.7711123402933506,7.428571428571429,1.0120641944533433,NA,NA,NA,NA,0,0,0.14285714285714285,0.019462772970256597,0,NA,NA
AK,2020-03-24,AK,42,NA,0,4,0.5449576431671848,8.571428571428571,1.167766378215396,NA,NA,NA,NA,0,0,0.14285714285714285,0.019462772970256597,1,NA,NA
AK,2020-03-25,AK,49,NA,1,7,0.9536758755425734,10.857142857142858,1.4791707457395016,NA,NA,NA,NA,1,0.1362394107917962,0.2857142857142857,0.038925545940513194,1,NA,NA
AK,2020-03-26,AK,63,NA,1,14,1.9073517510851468,12.142857142857142,1.6543357024718108,NA,NA,NA,NA,0,0,0.2857142857142857,0.038925545940513194,1,NA,NA
AK,2020-03-27,AK,74,NA,1,11,1.4986335187097581,11.428571428571429,1.557021837620528,NA,NA,NA,NA,0,0,0.42857142857142855,0.058388318910769794,2,NA,NA
AK,2020-03-28,AK,91,NA,2,17,2.3160699834605354,12.285714285714286,1.6737984754420676,NA,NA,NA,NA,1,0.1362394107917962,0.42857142857142855,0.058388318910769794,4,NA,NA
AK,2020-03-29,AK,110,NA,2,19,2.5885488050441277,13.142857142857142,1.7905751132636072,NA,NA,NA,NA,0,0,0.2857142857142857,0.038925545940513194,0,NA,NA
AK,2020-03-30,AK,118,NA,3,8,1.0899152863343695,12.285714285714286,1.6737984754420676,NA,NA,NA,NA,1,0.1362394107917962,0.2857142857142857,0.038925545940513194,0,NA,NA
AK,2020-03-31,AK,128,NA,3,10,1.362394107917962,12.285714285714286,1.6737984754420676,NA,NA,NA,NA,0,0,0.2857142857142857,0.038925545940513194,2,NA,NA
AK,2020-04-01,AK,141,NA,3,13,1.7711123402933506,11.428571428571429,1.557021837620528,NA,NA,NA,NA,0,0,0.42857142857142855,0.058388318910769794,3,NA,NA
AK,2020-04-02,AK,149,NA,3,8,1.0899152863343695,10.714285714285714,1.4597079727692448,NA,NA,NA,NA,0,0,0.5714285714285714,0.07785109188102639,1,NA,NA
AK,2020-04-03,AK,160,NA,3,11,1.4986335187097581,10.428571428571429,1.4207824268287317,NA,NA,NA,NA,0,0,0.42857142857142855,0.058388318910769794,1,NA,NA
AK,2020-04-04,AK,171,NA,5,11,1.4986335187097581,12.142857142857142,1.6543357024718108,NA,NA,NA,NA,2,0.2724788215835924,0.42857142857142855,0.058388318910769794,0,NA,NA
AK,2020-04-05,AK,185,NA,6,14,1.9073517510851468,12.142857142857142,1.6543357024718108,NA,NA,NA,NA,1,0.1362394107917962,0.5714285714285714,0.07785109188102639,4,NA,NA
AK,2020-04-06,AK,191,NA,6,6,0.8174364647507772,12.285714285714286,1.6737984754420676,NA,NA,NA,NA,0,0,0.5714285714285714,0.07785109188102639,4,NA,NA
AK,2020-04-07,AK,213,29,6,22,2.9972670374195163,12.285714285714286,1.6737984754420676,NA,NA,NA,NA,0,0,0.5714285714285714,0.07785109188102639,1,NA,NA
AK,2020-04-08,AK,226,32,7,13,1.7711123402933506,12.285714285714286,1.6737984754420676,3,0.4087182323753886,NA,NA,1,0.1362394107917962,0.42857142857142855,0.058388318910769794,2,NA,NA
AK,2020-04-09,AK,235,49,7,9,1.2261546971261659,12.428571428571429,1.6932612484123244,17,2.3160699834605354,NA,NA,0,0,0.2857142857142857,0.038925545940513194,2,NA,NA
AK,2020-04-10,AK,246,55,7,11,1.4986335187097581,12.285714285714286,1.6737984754420676,6,0.8174364647507772,NA,NA,0,0,0.2857142857142857,0.038925545940513194,0,NA,NA
AK,2020-04-11,AK,257,63,8,11,1.4986335187097581,10.285714285714286,1.4013196538584753,8,1.0899152863343695,1.3429313349477054,1.3429313349477054,1,0.1362394107917962,0.42857142857142855,0.058388318910769794,2,NA,NA
AK,2020-04-12,AK,272,66,8,15,2.043591161876943,9.571428571428571,1.304005789007192,3,0.4087182323753886,1.4402451997989885,1.4402451997989885,0,0,0.2857142857142857,0.038925545940513194,1,NA,NA
AK,2020-04-13,AK,277,85,8,5,0.681197053958981,9.285714285714286,1.265080243066679,19,2.5885488050441277,1.1872291511856525,1.1872291511856525,0,0,0.2857142857142857,0.038925545940513194,0,NA,NA
AK,2020-04-14,AK,285,98,9,8,1.0899152863343695,9,1.2261546971261659,13,1.7711123402933506,1.4207824268287317,1.4207824268287317,1,0.1362394107917962,0.2857142857142857,0.038925545940513194,0,NA,NA
AK,2020-04-15,AK,293,106,9,8,1.0899152863343695,8.142857142857142,1.109378059304626,8,1.0899152863343695,1.6348729295015543,1.6348729295015543,0,0,0.14285714285714285,0.019462772970256597,0,NA,NA
AK,2020-04-16,AK,300,110,9,7,0.9536758755425734,6.714285714285714,0.9147503296020602,4,0.5449576431671848,1.6932612484123242,1.6932612484123242,0,0,0.14285714285714285,0.019462772970256597,3,NA,NA
